,id,year,venue,team_A,team_B,Runs_in_Powerplay,Wickets_lost_in_Powerplay,Runs_in_middle_overs,Wickets_lost_in_middle_overs,Runs_in_Death_overs,Wickets_lost_in_death_overs,Total_Score_A,Total_Wicket_A,toss_winner,toss_decision,city,winner,event,match_id,innings_number,updated_venue,update_city
1471,1332497A,2022,Willowmoore Park,Kenya,Tanzania,45,0,71,2,39,1,155,3,Kenya,bat,Benoni,Tanzania,Africa Cricket Association Cup,1332497,A,Willowmoore Park,Benoni
1471,1332497B,2022,Willowmoore Park,Tanzania,Kenya,49,1,73,4,37,1,159,6,Kenya,bat,Benoni,Tanzania,Africa Cricket Association Cup,1332497,B,Willowmoore Park,Benoni
1472,1310178A,2022,Marsa Sports Club,Romania,Hungary,56,1,60,4,42,2,158,7,Romania,bat,Marsa,Hungary,Valletta Cup,1310178,A,Marsa Sports Club,Marsa
1472,1310178B,2022,Marsa Sports Club,Hungary,Romania,50,1,94,3,18,0,162,4,Romania,bat,Marsa,Hungary,Valletta Cup,1310178,B,Marsa Sports Club,Marsa
1473,1203676A,2020,National Cricket Stadium,Ireland,West Indies,93,0,73,4,42,3,208,7,Ireland,bat,St George's,Ireland,Ireland tour of West Indies,1203676,A,National Cricket Stadium,St George's
1473,1203676B,2020,National Cricket Stadium,West Indies,Ireland,63,1,101,3,40,3,204,7,Ireland,bat,St George's,Ireland,Ireland tour of West Indies,1203676,B,National Cricket Stadium,St George's
1474,1233979A,2021,Seddon Park,New Zealand,Bangladesh,48,1,98,1,64,1,210,3,New Zealand,bat,Hamilton,New Zealand,Bangladesh tour of New Zealand,1233979,A,Seddon Park,Hamilton
1474,1233979B,2021,Seddon Park,Bangladesh,New Zealand,44,3,73,2,27,2,144,7,New Zealand,bat,Hamilton,New Zealand,Bangladesh tour of New Zealand,1233979,B,Seddon Park,Hamilton
1475,452154A,2010,Harare Sports Club,Zimbabwe,India,21,2,72,1,47,2,140,5,India,field,,India,India in Zimbabwe T20I Series,452154,A,Harare Sports Club,-
1475,452154B,2010,Harare Sports Club,India,Zimbabwe,40,1,82,1,22,1,144,3,India,field,,India,India in Zimbabwe T20I Series,452154,B,Harare Sports Club,-
1476,1283089A,2021,University of Lagos Cricket Oval,Nigeria,Sierra Leone,21,3,45,3,33,4,99,10,Sierra Leone,field,Lagos,Sierra Leone,Sierra Leone tour of Nigeria,1283089,A,University of Lagos Cricket Oval,Lagos
1476,1283089B,2021,University of Lagos Cricket Oval,Sierra Leone,Nigeria,34,0,47,3,19,1,100,4,Sierra Leone,field,Lagos,Sierra Leone,Sierra Leone tour of Nigeria,1283089,B,University of Lagos Cricket Oval,Lagos
1477,1310187A,2022,Marsa Sports Club,Romania,Malta,58,2,68,0,45,2,171,4,Romania,bat,Marsa,Romania,Valletta Cup,1310187,A,Marsa Sports Club,Marsa
1477,1310187B,2022,Marsa Sports Club,Malta,Romania,43,1,78,4,41,0,162,5,Romania,bat,Marsa,Romania,Valletta Cup,1310187,B,Marsa Sports Club,Marsa
1478,1286683A,2021,Sir Vivian Richards Stadium,Belize,Bermuda,19,2,39,5,27,3,85,10,Belize,bat,North Sound,Bermuda,ICC Men's T20 World Cup Americas Region Qualifier,1286683,A,Sir Vivian Richards Stadium,North Sound
1478,1286683B,2021,Sir Vivian Richards Stadium,Bermuda,Belize,65,2,24,1,0,0,89,3,Belize,bat,North Sound,Bermuda,ICC Men's T20 World Cup Americas Region Qualifier,1286683,B,Sir Vivian Richards Stadium,North Sound
1479,1275045A,2021,Entebbe Cricket Oval,Nigeria,Kenya,39,3,77,1,17,1,133,5,Nigeria,bat,Entebbe,Nigeria,Uganda T20 Tri-Series,1275045,A,Entebbe Cricket Oval,Entebbe
1479,1275045B,2021,Entebbe Cricket Oval,Kenya,Nigeria,40,3,67,1,0,0,107,4,Nigeria,bat,Entebbe,Nigeria,Uganda T20 Tri-Series,1275045,B,Entebbe Cricket Oval,Entebbe
1480,1263155A,2021,National Cricket Stadium,South Africa,West Indies,49,1,93,1,26,2,168,4,South Africa,bat,St George's,South Africa,South Africa tour of West Indies,1263155,A,National Cricket Stadium,St George's
1480,1263155B,2021,National Cricket Stadium,West Indies,South Africa,50,0,64,4,29,4,143,8,South Africa,bat,St George's,South Africa,South Africa tour of West Indies,1263155,B,National Cricket Stadium,St George's
1481,1275051A,2021,Entebbe Cricket Oval,Uganda,Kenya,35,0,66,5,19,3,120,8,Uganda,bat,Entebbe,Uganda,Uganda T20 Tri-Series,1275051,A,Entebbe Cricket Oval,Entebbe
1481,1275051B,2021,Entebbe Cricket Oval,Kenya,Uganda,50,0,43,2,21,6,114,8,Uganda,bat,Entebbe,Uganda,Uganda T20 Tri-Series,1275051,B,Entebbe Cricket Oval,Entebbe
1482,1263154A,2021,National Cricket Stadium,West Indies,South Africa,57,2,44,3,66,0,167,5,South Africa,field,St George's,West Indies,South Africa tour of West Indies,1263154,A,National Cricket Stadium,St George's
1482,1263154B,2021,National Cricket Stadium,South Africa,West Indies,43,1,76,4,27,3,146,8,South Africa,field,St George's,West Indies,South Africa tour of West Indies,1263154,B,National Cricket Stadium,St George's
1483,1275044A,2021,Entebbe Cricket Oval,Kenya,Uganda,43,1,81,2,27,6,151,9,Kenya,bat,Entebbe,Kenya,Uganda T20 Tri-Series,1275044,A,Entebbe Cricket Oval,Entebbe
1483,1275044B,2021,Entebbe Cricket Oval,Uganda,Kenya,23,3,75,4,31,3,129,10,Kenya,bat,Entebbe,Kenya,Uganda T20 Tri-Series,1275044,B,Entebbe Cricket Oval,Entebbe
1484,1286682A,2021,Coolidge Cricket Ground,Bahamas,United States of America,12,0,52,2,26,5,90,7,Bahamas,bat,Coolidge,United States of America,ICC Men's T20 World Cup Americas Region Qualifier,1286682,A,Coolidge Cricket Ground,Coolidge
1484,1286682B,2021,Coolidge Cricket Ground,United States of America,Bahamas,43,0,48,0,0,0,91,0,Bahamas,bat,Coolidge,United States of America,ICC Men's T20 World Cup Americas Region Qualifier,1286682,B,Coolidge Cricket Ground,Coolidge
1485,1310186A,2022,Marsa Sports Club,Czech Republic,Hungary,71,0,107,2,43,2,221,4,Hungary,field,Marsa,Czech Republic,Valletta Cup,1310186,A,Marsa Sports Club,Marsa
1485,1310186B,2022,Marsa Sports Club,Hungary,Czech Republic,51,1,77,2,23,3,151,6,Hungary,field,Marsa,Czech Republic,Valletta Cup,1310186,B,Marsa Sports Club,Marsa
1486,963701A,2016,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,Sri Lanka,India,29,4,45,4,8,1,82,9,India,field,Visakhapatnam,India,Sri Lanka in India T20I Series,963701,A,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,Visakhapatnam
1486,963701B,2016,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,India,Sri Lanka,35,0,49,0,0,0,84,0,India,field,Visakhapatnam,India,Sri Lanka in India T20I Series,963701,B,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,Visakhapatnam
1487,1310179A,2022,Marsa Sports Club,Gibraltar,Bulgaria,60,0,101,0,52,0,213,0,Gibraltar,bat,Marsa,Gibraltar,Valletta Cup,1310179,A,Marsa Sports Club,Marsa
1487,1310179B,2022,Marsa Sports Club,Bulgaria,Gibraltar,48,1,97,4,47,1,192,6,Gibraltar,bat,Marsa,Gibraltar,Valletta Cup,1310179,B,Marsa Sports Club,Marsa
1488,306987A,2007,Gymkhana Club Ground,Kenya,Bangladesh,35,2,77,1,26,4,138,7,Bangladesh,field,Nairobi,Bangladesh,Twenty20 Quadrangular (in Kenya),306987,A,Gymkhana Club Ground,Nairobi
1488,306987B,2007,Gymkhana Club Ground,Bangladesh,Kenya,61,1,67,3,11,1,139,5,Bangladesh,field,Nairobi,Bangladesh,Twenty20 Quadrangular (in Kenya),306987,B,Gymkhana Club Ground,Nairobi
1489,1332496A,2022,Willowmoore Park,Botswana,Uganda,26,1,41,3,36,1,103,5,Uganda,field,Benoni,Uganda,Africa Cricket Association Cup,1332496,A,Willowmoore Park,Benoni
1489,1332496B,2022,Willowmoore Park,Uganda,Botswana,33,1,54,2,20,0,107,3,Uganda,field,Benoni,Uganda,Africa Cricket Association Cup,1332496,B,Willowmoore Park,Benoni
1490,1085496A,2017,Queen's Park Oval,West Indies,Pakistan,42,1,44,6,38,1,124,8,Pakistan,field,Trinidad,Pakistan,Pakistan in West Indies T20I Series,1085496,A,Queen's Park Oval,Trinidad
1490,1085496B,2017,Queen's Park Oval,Pakistan,West Indies,39,0,71,2,17,1,127,3,Pakistan,field,Trinidad,Pakistan,Pakistan in West Indies T20I Series,1085496,B,Queen's Park Oval,Trinidad
1491,1199524A,2019,Sheikh Zayed Stadium,Hong Kong,Jersey,52,1,48,5,44,1,144,7,Hong Kong,bat,Abu Dhabi,Hong Kong,ICC Men's T20 World Cup Qualifier,1199524,A,Sheikh Zayed Stadium,Abu Dhabi
1491,1199524B,2019,Sheikh Zayed Stadium,Jersey,Hong Kong,41,2,62,3,33,1,136,6,Hong Kong,bat,Abu Dhabi,Hong Kong,ICC Men's T20 World Cup Qualifier,1199524,B,Sheikh Zayed Stadium,Abu Dhabi
1492,1144989A,2018,Carrara Oval,South Africa,Australia,70,2,38,4,0,0,108,6,Australia,field,,South Africa,South Africa tour of Australia,1144989,A,Carrara Oval,-
1492,1144989B,2018,Carrara Oval,Australia,South Africa,52,5,35,2,0,0,87,7,Australia,field,,South Africa,South Africa tour of Australia,1144989,B,Carrara Oval,-
1493,1197509A,2019,United Cricket Club Ground,Namibia,Botswana,64,2,58,3,52,3,174,8,Namibia,bat,Windhoek,Namibia,Botswana tour of Namibia,1197509,A,United Cricket Club Ground,Windhoek
1493,1197509B,2019,United Cricket Club Ground,Botswana,Namibia,37,1,46,5,13,4,96,10,Namibia,bat,Windhoek,Namibia,Botswana tour of Namibia,1197509,B,United Cricket Club Ground,Windhoek
1494,463149A,2011,Moses Mabhida Stadium,India,South Africa,57,1,79,4,32,1,168,6,India,bat,Durban,India,,463149,A,Moses Mabhida Stadium,Durban
1494,463149B,2011,Moses Mabhida Stadium,South Africa,India,59,2,66,3,22,2,147,7,India,bat,Durban,India,,463149,B,Moses Mabhida Stadium,Durban
1495,1273145A,2021,Gahanga International Cricket Stadium. Rwanda,Rwanda,Ghana,48,2,57,5,42,0,147,7,Rwanda,bat,Kigali City,Ghana,Ghana tour of Rwanda,1273145,A,Gahanga International Cricket Stadium. Rwanda,Kigali City
1495,1273145B,2021,Gahanga International Cricket Stadium. Rwanda,Ghana,Rwanda,20,2,100,0,28,1,148,3,Rwanda,bat,Kigali City,Ghana,Ghana tour of Rwanda,1273145,B,Gahanga International Cricket Stadium. Rwanda,Kigali City
1496,1327272A,2022,Dubai International Cricket Stadium,India,Hong Kong,44,1,90,1,58,0,192,2,Hong Kong,field,Dubai,India,Asia Cup,1327272,A,Dubai International Cricket Stadium,Dubai
1496,1327272B,2022,Dubai International Cricket Stadium,Hong Kong,India,51,2,58,2,43,1,152,5,Hong Kong,field,Dubai,India,Asia Cup,1327272,B,Dubai International Cricket Stadium,Dubai
