,id,year,venue,team_A,team_B,Runs_in_Powerplay,Wickets_lost_in_Powerplay,Runs_in_middle_overs,Wickets_lost_in_middle_overs,Runs_in_Death_overs,Wickets_lost_in_death_overs,Total_Score_A,Total_Wicket_A,toss_winner,toss_decision,city,winner,event,match_id,innings_number
170,1144173B,2019,SuperSport Park,Sri Lanka,South Africa,47,4,62,3,55,2,164,9,Sri Lanka,field,Centurion,South Africa,Sri Lanka tour of South Africa,1144173,B
171,736063A,2015,Kingsmead,South Africa,West Indies,62,0,75,1,58,2,195,3,West Indies,field,Durban,South Africa,West Indies in South Africa T20I Series,736063,A
171,736063B,2015,Kingsmead,West Indies,South Africa,57,1,55,5,14,4,126,10,West Indies,field,Durban,South Africa,West Indies in South Africa T20I Series,736063,B
172,1282749A,2021,Desert Springs Cricket Ground,Denmark,Jersey,29,2,58,2,43,1,130,5,Denmark,bat,Almeria,Jersey,ICC Men's T20 World Cup Europe Region Qualifier,1282749,A
172,1282749B,2021,Desert Springs Cricket Ground,Jersey,Denmark,25,3,78,3,28,0,131,6,Denmark,bat,Almeria,Jersey,ICC Men's T20 World Cup Europe Region Qualifier,1282749,B
173,1332505A,2022,Willowmoore Park,Tanzania,Malawi,45,3,90,0,35,4,170,7,Malawi,field,Benoni,Tanzania,Africa Cricket Association Cup,1332505,A
173,1332505B,2022,Willowmoore Park,Malawi,Tanzania,44,1,66,2,16,1,126,4,Malawi,field,Benoni,Tanzania,Africa Cricket Association Cup,1332505,B
174,573020A,2013,Melbourne Cricket Ground,Sri Lanka,Australia,36,2,74,2,51,0,161,4,Australia,field,,Sri Lanka,Sri Lanka in Australia T20I Series,573020,A
174,573020B,2013,Melbourne Cricket Ground,Australia,Sri Lanka,28,1,91,1,0,0,119,2,Australia,field,,Sri Lanka,Sri Lanka in Australia T20I Series,573020,B
175,1201681A,2019,Indian Association Ground,Singapore,Nepal,50,1,63,1,38,0,151,2,Singapore,bat,Singapore,Nepal,Singapore Twenty20 Tri-Series,1201681,A
175,1201681B,2019,Indian Association Ground,Nepal,Singapore,37,0,117,0,0,0,154,0,Singapore,bat,Singapore,Nepal,Singapore Twenty20 Tri-Series,1201681,B
176,1310940A,2022,Queens Sports Club,Namibia,Zimbabwe,42,1,60,2,26,3,128,6,Namibia,bat,Bulawayo,Zimbabwe,Namibia tour of Zimbabwe,1310940,A
176,1310940B,2022,Queens Sports Club,Zimbabwe,Namibia,45,0,64,2,20,0,129,2,Namibia,bat,Bulawayo,Zimbabwe,Namibia tour of Zimbabwe,1310940,B
177,560921A,2012,Central Broward Regional Park Stadium Turf Ground,West Indies,New Zealand,43,1,101,1,65,0,209,2,New Zealand,field,Lauderhill,West Indies,New Zealand v West Indies T20I Series,560921,A
177,560921B,2012,Central Broward Regional Park Stadium Turf Ground,New Zealand,West Indies,51,2,66,5,36,1,153,8,New Zealand,field,Lauderhill,West Indies,New Zealand v West Indies T20I Series,560921,B
178,356010A,2009,Lord's,England,India,40,1,73,1,40,3,153,5,India,field,London,England,ICC World Twenty20,356010,A
178,356010B,2009,Lord's,India,England,36,2,68,3,46,0,150,5,India,field,London,England,ICC World Twenty20,356010,B
179,350475A,2009,New Wanderers Stadium,Australia,South Africa,40,2,76,4,50,1,166,7,South Africa,field,Johannesburg,South Africa,Australia in South Africa T20I Series,350475,A
179,350475B,2009,New Wanderers Stadium,South Africa,Australia,48,2,72,3,48,1,168,6,South Africa,field,Johannesburg,South Africa,Australia in South Africa T20I Series,350475,B
180,356004A,2009,Trent Bridge,England,South Africa,25,3,68,5,18,2,111,10,England,bat,Nottingham,South Africa,ICC World Twenty20,356004,A
180,356004B,2009,Trent Bridge,South Africa,England,28,1,71,1,15,1,114,3,England,bat,Nottingham,South Africa,ICC World Twenty20,356004,B
181,1257404A,2021,Wanderers,Uganda,Namibia,39,1,53,3,42,1,134,5,Uganda,bat,Windhoek,Namibia,Uganda tour of Namibia,1257404,A
181,1257404B,2021,Wanderers,Namibia,Uganda,53,3,82,0,0,0,135,3,Uganda,bat,Windhoek,Namibia,Uganda tour of Namibia,1257404,B
182,1268192A,2021,Marsa Sports Club,Belgium,Malta,35,1,93,3,44,1,172,5,Belgium,bat,Marsa,Belgium,Belgium tour of Malta,1268192,A
182,1268192B,2021,Marsa Sports Club,Malta,Belgium,50,0,66,5,17,4,133,9,Belgium,bat,Marsa,Belgium,Belgium tour of Malta,1268192,B
183,356000A,2009,Lord's,South Africa,New Zealand,47,0,47,5,34,2,128,7,New Zealand,field,London,South Africa,ICC World Twenty20,356000,A
183,356000B,2009,Lord's,New Zealand,South Africa,35,2,54,1,38,2,127,5,New Zealand,field,London,South Africa,ICC World Twenty20,356000,B
184,356014A,2009,Trent Bridge,South Africa,India,47,1,52,2,31,2,130,5,South Africa,bat,Nottingham,South Africa,ICC World Twenty20,356014,A
184,356014B,2009,Trent Bridge,India,South Africa,47,0,43,5,28,3,118,8,South Africa,bat,Nottingham,South Africa,ICC World Twenty20,356014,B
185,1168112A,2019,Rajiv Gandhi International Cricket Stadium,Ireland,Afghanistan,37,1,55,3,40,0,132,4,Ireland,bat,Dehra Dun,Afghanistan,Ireland tour of India,1168112,A
185,1168112B,2019,Rajiv Gandhi International Cricket Stadium,Afghanistan,Ireland,43,4,64,1,29,0,136,5,Ireland,bat,Dehra Dun,Afghanistan,Ireland tour of India,1168112,B
186,1256722A,2022,Kensington Oval,West Indies,England,54,2,115,0,55,3,224,5,England,field,Bridgetown,West Indies,England tour of West Indies,1256722,A
186,1256722B,2022,Kensington Oval,England,West Indies,61,1,101,4,42,4,204,9,England,field,Bridgetown,West Indies,England tour of West Indies,1256722,B
187,966739A,2016,Khan Shaheb Osman Ali Stadium,Hong Kong,United Arab Emirates,38,1,88,2,20,3,146,6,Hong Kong,bat,Fatullah,United Arab Emirates,Asia Cup,966739,A
187,966739B,2016,Khan Shaheb Osman Ali Stadium,United Arab Emirates,Hong Kong,45,2,75,1,27,1,147,4,Hong Kong,bat,Fatullah,United Arab Emirates,Asia Cup,966739,B
188,1217742A,2020,Terdthai Cricket Ground,Singapore,Malaysia,59,0,111,1,69,2,239,3,Singapore,bat,Bangkok,Singapore,ACC Eastern Region T20,1217742,A
188,1217742B,2020,Terdthai Cricket Ground,Malaysia,Singapore,52,3,59,7,0,0,111,10,Singapore,bat,Bangkok,Singapore,ACC Eastern Region T20,1217742,B
189,1198236A,2020,The Rose Bowl,Australia,England,39,3,71,2,47,2,157,7,Australia,bat,Southampton,England,Australia tour of England,1198236,A
189,1198236B,2020,The Rose Bowl,England,Australia,44,1,81,2,33,1,158,4,Australia,bat,Southampton,England,Australia tour of England,1198236,B
190,439139A,2010,Queen's Park Oval,Zimbabwe,West Indies,13,3,54,1,38,5,105,9,Zimbabwe,bat,Trinidad,Zimbabwe,,439139,A
190,439139B,2010,Queen's Park Oval,West Indies,Zimbabwe,21,1,41,3,17,1,79,5,Zimbabwe,bat,Trinidad,Zimbabwe,,439139,B
191,1332501A,2022,Willowmoore Park,Ghana,Uganda,23,0,79,3,31,5,133,8,Ghana,bat,Benoni,Uganda,Africa Cricket Association Cup,1332501,A
191,1332501B,2022,Willowmoore Park,Uganda,Ghana,43,0,79,2,13,0,135,2,Ghana,bat,Benoni,Uganda,Africa Cricket Association Cup,1332501,B
192,1201685A,2019,Indian Association Ground,Singapore,Zimbabwe,67,1,73,3,27,3,167,7,Zimbabwe,field,Singapore,Zimbabwe,Singapore Twenty20 Tri-Series,1201685,A
192,1201685B,2019,Indian Association Ground,Zimbabwe,Singapore,37,1,103,1,28,0,168,2,Zimbabwe,field,Singapore,Zimbabwe,Singapore Twenty20 Tri-Series,1201685,B
193,660235A,2013,Sheikh Zayed Stadium,Ireland,Afghanistan,82,1,101,3,42,3,225,7,Ireland,bat,Abu Dhabi,Ireland,ICC World Twenty20 Qualifier,660235,A
193,660235B,2013,Sheikh Zayed Stadium,Afghanistan,Ireland,74,2,68,6,15,2,157,10,Ireland,bat,Abu Dhabi,Ireland,ICC World Twenty20 Qualifier,660235,B
194,660209A,2013,Sharjah Cricket Stadium,Kenya,Canada,59,1,55,3,32,3,146,7,Kenya,bat,,Kenya,ICC World Twenty20 Qualifier,660209,A
194,660209B,2013,Sharjah Cricket Stadium,Canada,Kenya,41,2,66,4,18,4,125,10,Kenya,bat,,Kenya,ICC World Twenty20 Qualifier,660209,B
195,875553A,2015,The Village,Ireland,Netherlands,38,2,69,2,21,6,128,10,Netherlands,field,Dublin,Netherlands,ICC World Twenty20 Qualifier,875553,A
195,875553B,2015,The Village,Netherlands,Ireland,38,2,60,2,31,1,129,5,Netherlands,field,Dublin,Netherlands,ICC World Twenty20 Qualifier,875553,B
196,1187666A,2019,Westpac Stadium,New Zealand,England,53,0,85,4,38,2,176,6,England,field,Wellington,New Zealand,England tour of New Zealand,1187666,A
196,1187666B,2019,Westpac Stadium,England,New Zealand,49,3,85,4,21,3,155,10,England,field,Wellington,New Zealand,England tour of New Zealand,1187666,B
197,662387A,2013,Sharjah Cricket Stadium,Kenya,Afghanistan,59,0,60,2,30,2,149,4,Kenya,bat,,Kenya,Afghanistan v Kenya T20I Series,662387,A
197,662387B,2013,Sharjah Cricket Stadium,Afghanistan,Kenya,38,2,62,2,15,2,115,6,Kenya,bat,,Kenya,Afghanistan v Kenya T20I Series,662387,B
198,287856A,2007,Newlands,Australia,Zimbabwe,22,3,79,2,37,4,138,9,Australia,bat,Cape Town,Zimbabwe,ICC World Twenty20,287856,A
198,287856B,2007,Newlands,Zimbabwe,Australia,47,1,63,3,29,0,139,4,Australia,bat,Cape Town,Zimbabwe,ICC World Twenty20,287856,B
199,1322276A,2022,Bay Oval,India,New Zealand,42,1,87,2,62,3,191,6,New Zealand,field,Mount Maunganui,India,India tour of New Zealand,1322276,A
199,1322276B,2022,Bay Oval,New Zealand,India,32,1,67,5,27,4,126,10,New Zealand,field,Mount Maunganui,India,India tour of New Zealand,1322276,B
200,1142506A,2018,VRA Ground,Scotland,Netherlands,77,1,96,1,48,1,221,3,Scotland,bat,Amstelveen,Scotland,Netherlands Tri-Nation T20I Series,1142506,A
200,1142506B,2018,VRA Ground,Netherlands,Scotland,47,3,59,5,0,0,106,8,Scotland,bat,Amstelveen,Scotland,Netherlands Tri-Nation T20I Series,1142506,B
201,1119502A,2017,Barsapara Cricket Stadium,India,Australia,38,3,52,3,28,3,118,9,Australia,field,Guwahati,Australia,Australia tour of India,1119502,A
201,1119502B,2017,Barsapara Cricket Stadium,Australia,India,34,2,88,0,0,0,122,2,Australia,field,Guwahati,Australia,Australia tour of India,1119502,B
202,1144163A,2019,SuperSport Park,Pakistan,South Africa,50,2,79,4,39,3,168,9,South Africa,field,Centurion,Pakistan,Pakistan tour of South Africa,1144163,A
202,1144163B,2019,SuperSport Park,South Africa,Pakistan,24,2,85,4,32,2,141,8,South Africa,field,Centurion,Pakistan,Pakistan tour of South Africa,1144163,B
203,1249206A,2021,Sophia Gardens,Sri Lanka,England,39,2,58,3,32,1,129,6,Sri Lanka,bat,Cardiff,England,Sri Lanka tour of England,1249206,A
203,1249206B,2021,Sophia Gardens,England,Sri Lanka,61,0,56,2,13,0,130,2,Sri Lanka,bat,Cardiff,England,Sri Lanka tour of England,1249206,B
204,1202011A,2019,Kinrara Academy Oval,Malaysia,Vanuatu,51,1,111,2,44,2,206,5,Malaysia,bat,Kuala Lumpur,Malaysia,Vanuatu tour of Malaysia,1202011,A
204,1202011B,2019,Kinrara Academy Oval,Vanuatu,Malaysia,77,1,67,3,40,5,184,9,Malaysia,bat,Kuala Lumpur,Malaysia,Vanuatu tour of Malaysia,1202011,B
205,546470A,2012,Dubai International Cricket Stadium,Netherlands,Ireland,27,2,64,0,23,4,114,6,Ireland,field,,Ireland,ICC World Twenty20 Qualifier,546470,A
205,546470B,2012,Dubai International Cricket Stadium,Ireland,Netherlands,52,1,55,1,8,0,115,2,Ireland,field,,Ireland,ICC World Twenty20 Qualifier,546470,B
206,1299594A,2022,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Oman,Ireland,44,2,66,5,27,3,137,10,Ireland,field,Al Amarat,Ireland,Oman Quadrangular T20I Series,1299594,A
206,1299594B,2022,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Ireland,Oman,47,0,83,1,10,0,140,1,Ireland,field,Al Amarat,Ireland,Oman Quadrangular T20I Series,1299594,B
207,1257945A,2021,Tribhuvan University International Cricket Ground,Netherlands,Nepal,23,0,68,1,45,1,136,2,Nepal,field,Kirtipur,Nepal,Nepal Tri-Nation T20I Series,1257945,A
207,1257945B,2021,Tribhuvan University International Cricket Ground,Nepal,Netherlands,66,0,75,1,0,0,141,1,Nepal,field,Kirtipur,Nepal,Nepal Tri-Nation T20I Series,1257945,B
208,463141A,2010,OUTsurance Oval,Zimbabwe,South Africa,30,0,83,1,55,2,168,3,Zimbabwe,bat,Bloemfontein,South Africa,Zimbabwe in South Africa T20I Series,463141,A
208,463141B,2010,OUTsurance Oval,South Africa,Zimbabwe,78,0,91,2,0,0,169,2,Zimbabwe,bat,Bloemfontein,South Africa,Zimbabwe in South Africa T20I Series,463141,B
209,884347A,2016,Kingsmead,Australia,South Africa,69,1,49,5,39,2,157,8,Australia,bat,Durban,South Africa,Australia in South Africa T20I Series,884347,A
209,884347B,2016,Kingsmead,South Africa,Australia,45,3,84,3,29,1,158,7,Australia,bat,Durban,South Africa,Australia in South Africa T20I Series,884347,B
210,1327508A,2022,Holkar Cricket Stadium,South Africa,India,48,1,121,1,58,1,227,3,India,field,Indore,South Africa,South Africa tour of India,1327508,A
210,1327508B,2022,Holkar Cricket Stadium,India,South Africa,64,2,95,5,19,2,178,9,India,field,Indore,South Africa,South Africa tour of India,1327508,B
211,1257951A,2021,Tribhuvan University International Cricket Ground,Nepal,Netherlands,56,1,113,2,69,0,238,3,Netherlands,field,Kirtipur,Nepal,Nepal Tri-Nation T20I Series,1257951,A
211,1257951B,2021,Tribhuvan University International Cricket Ground,Netherlands,Nepal,37,4,54,4,5,1,96,9,Netherlands,field,Kirtipur,Nepal,Nepal Tri-Nation T20I Series,1257951,B
212,1199538A,2019,Sheikh Zayed Stadium,Jersey,Oman,51,0,57,4,33,2,141,6,Oman,field,Abu Dhabi,Jersey,ICC Men's T20 World Cup Qualifier,1199538,A
212,1199538B,2019,Sheikh Zayed Stadium,Oman,Jersey,32,2,67,2,28,4,127,8,Oman,field,Abu Dhabi,Jersey,ICC Men's T20 World Cup Qualifier,1199538,B
213,1299580A,2022,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),United Arab Emirates,Nepal,58,1,78,1,39,5,175,7,United Arab Emirates,bat,Al Amarat,United Arab Emirates,ICC Men's T20 World Cup Qualifier A,1299580,A
213,1299580B,2022,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Nepal,United Arab Emirates,45,2,51,4,11,2,107,8,United Arab Emirates,bat,Al Amarat,United Arab Emirates,ICC Men's T20 World Cup Qualifier A,1299580,B
214,1213875A,2020,Pallekele International Cricket Stadium,Sri Lanka,West Indies,44,1,65,4,46,1,155,6,West Indies,field,Kandy,West Indies,West Indies tour of Sri Lanka,1213875,A
214,1213875B,2020,Pallekele International Cricket Stadium,West Indies,Sri Lanka,61,1,88,2,9,0,158,3,West Indies,field,Kandy,West Indies,West Indies tour of Sri Lanka,1213875,B
215,1199510A,2019,ICC Academy Ground No 2,Bermuda,Singapore,25,2,77,2,47,3,149,7,Bermuda,bat,Dubai,Singapore,ICC Men's T20 World Cup Qualifier,1199510,A
215,1199510B,2019,ICC Academy Ground No 2,Singapore,Bermuda,29,1,84,2,39,1,152,4,Bermuda,bat,Dubai,Singapore,ICC Men's T20 World Cup Qualifier,1199510,B
216,1197529A,2019,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Nepal,Oman,46,6,18,4,0,0,64,10,Oman,field,Al Amarat,Oman,Oman Pentangular T20I Series,1197529,A
216,1197529B,2019,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Oman,Nepal,23,2,42,2,0,0,65,4,Oman,field,Al Amarat,Oman,Oman Pentangular T20I Series,1197529,B
217,1199504A,2019,Sheikh Zayed Stadium,Jersey,Nigeria,57,2,81,0,46,1,184,3,Jersey,bat,Abu Dhabi,Jersey,ICC Men's T20 World Cup Qualifier,1199504,A
217,1199504B,2019,Sheikh Zayed Stadium,Nigeria,Jersey,40,2,52,2,23,1,115,5,Jersey,bat,Abu Dhabi,Jersey,ICC Men's T20 World Cup Qualifier,1199504,B
218,1275272A,2021,Moara Vlasiei Cricket Ground,Romania,Hungary,55,3,93,0,47,2,195,5,Romania,bat,Ilfov County,Romania,Continental Cup,1275272,A
218,1275272B,2021,Moara Vlasiei Cricket Ground,Hungary,Romania,66,2,90,2,31,4,187,8,Romania,bat,Ilfov County,Romania,Continental Cup,1275272,B
219,953345A,2016,Sharjah Cricket Stadium,Afghanistan,Zimbabwe,62,0,68,4,57,3,187,7,Afghanistan,bat,,Afghanistan,Afghanistan v Zimbabwe T20I Series,953345,A
219,953345B,2016,Sharjah Cricket Stadium,Zimbabwe,Afghanistan,54,2,82,2,46,3,182,7,Afghanistan,bat,,Afghanistan,Afghanistan v Zimbabwe T20I Series,953345,B
220,361531A,2008,Civil Service Cricket Club,Scotland,Netherlands,35,0,53,3,19,5,107,8,Netherlands,field,Belfast,Netherlands,ICC World Twenty20 Qualifier,361531,A
220,361531B,2008,Civil Service Cricket Club,Netherlands,Scotland,41,1,43,4,26,0,110,5,Netherlands,field,Belfast,Netherlands,ICC World Twenty20 Qualifier,361531,B
221,1310165A,2022,Desert Springs Cricket Ground,Spain,Guernsey,13,1,65,4,29,5,107,10,Spain,bat,Almeria,Guernsey,Spain Triangular T20I Series,1310165,A
221,1310165B,2022,Desert Springs Cricket Ground,Guernsey,Spain,41,1,52,1,18,0,111,2,Spain,bat,Almeria,Guernsey,Spain Triangular T20I Series,1310165,B
222,1286675A,2021,Sir Vivian Richards Stadium,Argentina,Belize,43,3,89,1,39,0,171,4,Argentina,bat,North Sound,Argentina,ICC Men's T20 World Cup Americas Region Qualifier,1286675,A
222,1286675B,2021,Sir Vivian Richards Stadium,Belize,Argentina,35,5,62,2,15,1,112,8,Argentina,bat,North Sound,Argentina,ICC Men's T20 World Cup Americas Region Qualifier,1286675,B
223,1310171A,2022,Marsa Sports Club,Malta,Hungary,53,1,105,3,48,3,206,7,Hungary,field,Marsa,Malta,Valletta Cup,1310171,A
223,1310171B,2022,Marsa Sports Club,Hungary,Malta,42,1,90,3,29,2,161,6,Hungary,field,Marsa,Malta,Valletta Cup,1310171,B
224,1317150A,2022,Windsor Park,West Indies,Bangladesh,46,2,96,0,51,2,193,4,West Indies,bat,Roseau,West Indies,Bangladesh tour of West Indies,1317150,A
224,1317150B,2022,Windsor Park,Bangladesh,West Indies,44,3,62,2,52,1,158,6,West Indies,bat,Roseau,West Indies,Bangladesh tour of West Indies,1317150,B
225,1283043A,2021,Gahanga International Cricket Stadium. Rwanda,Tanzania,Mozambique,92,2,104,1,46,3,242,6,Tanzania,bat,Kigali City,Tanzania,ICC Men's T20 World Cup Sub Regional Africa Qualifier,1283043,A
225,1283043B,2021,Gahanga International Cricket Stadium. Rwanda,Mozambique,Tanzania,41,2,91,4,23,2,155,8,Tanzania,bat,Kigali City,Tanzania,ICC Men's T20 World Cup Sub Regional Africa Qualifier,1283043,B
226,1188623A,2019,Providence Stadium,West Indies,India,22,1,86,2,38,1,146,4,India,field,Providence,India,India tour of United States of America and West Indies,1188623,A
226,1188623B,2019,Providence Stadium,India,West Indies,34,2,86,0,30,1,150,3,India,field,Providence,India,India tour of United States of America and West Indies,1188623,B
227,1185313A,2020,Buffalo Park,South Africa,England,68,1,80,3,29,4,177,8,England,field,East London,South Africa,England tour of South Africa,1185313,A
227,1185313B,2020,Buffalo Park,England,South Africa,68,1,71,2,37,5,176,8,England,field,East London,South Africa,England tour of South Africa,1185313,B
228,1283094A,2021,University of Lagos Cricket Oval,Nigeria,Sierra Leone,43,1,56,3,35,4,134,8,Nigeria,bat,Lagos,Nigeria,Sierra Leone tour of Nigeria,1283094,A
228,1283094B,2021,University of Lagos Cricket Oval,Sierra Leone,Nigeria,27,0,56,3,15,4,98,7,Nigeria,bat,Lagos,Nigeria,Sierra Leone tour of Nigeria,1283094,B
229,1323550A,2022,Lisicji Jarak Cricket Ground,Bulgaria,Serbia,34,2,94,3,24,4,152,9,Serbia,field,Belgrade,Serbia,Bulgaria tour of Serbia,1323550,A
229,1323550B,2022,Lisicji Jarak Cricket Ground,Serbia,Bulgaria,53,0,88,3,14,0,155,3,Serbia,field,Belgrade,Serbia,Bulgaria tour of Serbia,1323550,B
230,1263160A,2021,Daren Sammy National Cricket Stadium,West Indies,Australia,81,1,92,4,26,3,199,8,West Indies,bat,Gros Islet,West Indies,Australia tour of West Indies,1263160,A
230,1263160B,2021,Daren Sammy National Cricket Stadium,Australia,West Indies,66,2,82,4,35,3,183,9,West Indies,bat,Gros Islet,West Indies,Australia tour of West Indies,1263160,B
231,534233A,2012,Riverside Ground,England,South Africa,40,1,46,5,32,0,118,6,South Africa,field,Chester-le-Street,South Africa,South Africa in England T20I Series,534233,A
231,534233B,2012,Riverside Ground,South Africa,England,40,2,59,0,20,0,119,2,South Africa,field,Chester-le-Street,South Africa,South Africa in England T20I Series,534233,B
232,1267306A,2021,National Sports Academy,Serbia,Greece,52,3,68,3,24,4,144,10,Greece,field,Sofia,Greece,Sofia Twenty20,1267306,A
232,1267306B,2021,National Sports Academy,Greece,Serbia,59,2,88,1,0,0,147,3,Greece,field,Sofia,Greece,Sofia Twenty20,1267306,B
233,1323551A,2022,Lisicji Jarak Cricket Ground,Bulgaria,Serbia,15,3,104,3,35,3,154,9,Serbia,field,Belgrade,Serbia,Bulgaria tour of Serbia,1323551,A
233,1323551B,2022,Lisicji Jarak Cricket Ground,Serbia,Bulgaria,38,1,72,1,47,0,157,2,Serbia,field,Belgrade,Serbia,Bulgaria tour of Serbia,1323551,B
234,1267307A,2021,National Sports Academy,Bulgaria,Romania,55,3,79,3,23,1,157,7,Bulgaria,bat,Sofia,Romania,Sofia Twenty20,1267307,A
234,1267307B,2021,National Sports Academy,Romania,Bulgaria,71,1,90,2,0,0,161,3,Bulgaria,bat,Sofia,Romania,Sofia Twenty20,1267307,B
235,914219A,2016,Eden Park,Sri Lanka,New Zealand,37,2,66,6,39,0,142,8,New Zealand,field,Auckland,New Zealand,Sri Lanka in New Zealand T20I Series,914219,A
235,914219B,2016,Eden Park,New Zealand,Sri Lanka,82,0,65,1,0,0,147,1,New Zealand,field,Auckland,New Zealand,Sri Lanka in New Zealand T20I Series,914219,B
236,1188622A,2019,Central Broward Regional Park Stadium Turf Ground,India,West Indies,52,0,78,3,37,2,167,5,India,bat,Lauderhill,India,India tour of United States of America and West Indies,1188622,A
236,1188622B,2019,Central Broward Regional Park Stadium Turf Ground,West Indies,India,25,2,73,1,0,0,98,3,India,bat,Lauderhill,India,India tour of United States of America and West Indies,1188622,B
237,914225A,2016,Westpac Stadium,New Zealand,Pakistan,57,1,87,3,52,2,196,6,Pakistan,field,Wellington,New Zealand,Pakistan in New Zealand T20I Series,914225,A
237,914225B,2016,Westpac Stadium,Pakistan,New Zealand,42,4,59,5,0,1,101,10,Pakistan,field,Wellington,New Zealand,Pakistan in New Zealand T20I Series,914225,B
238,1233959A,2020,Eden Park,Pakistan,New Zealand,29,4,71,2,53,3,153,9,Pakistan,bat,Auckland,New Zealand,Pakistan tour of New Zealand,1233959,A
238,1233959B,2020,Eden Park,New Zealand,Pakistan,40,2,87,2,29,0,156,4,Pakistan,bat,Auckland,New Zealand,Pakistan tour of New Zealand,1233959,B
239,1283042A,2021,Gahanga International Cricket Stadium. Rwanda,Botswana,Sierra Leone,44,1,86,1,27,3,157,5,Botswana,bat,Kigali City,Botswana,ICC Men's T20 World Cup Sub Regional Africa Qualifier,1283042,A
239,1283042B,2021,Gahanga International Cricket Stadium. Rwanda,Sierra Leone,Botswana,26,4,48,4,11,0,85,8,Botswana,bat,Kigali City,Botswana,ICC Men's T20 World Cup Sub Regional Africa Qualifier,1283042,B
240,1317151A,2022,Providence Stadium,Bangladesh,West Indies,44,2,85,1,34,1,163,4,Bangladesh,bat,Providence,West Indies,Bangladesh tour of West Indies,1317151,A
240,1317151B,2022,Providence Stadium,West Indies,Bangladesh,43,2,101,1,25,1,169,4,Bangladesh,bat,Providence,West Indies,Bangladesh tour of West Indies,1317151,B
241,1310170A,2022,Marsa Sports Club,Gibraltar,Malta,49,2,50,2,33,1,132,5,Malta,field,Marsa,Malta,Valletta Cup,1310170,A
241,1310170B,2022,Marsa Sports Club,Malta,Gibraltar,37,1,83,3,15,1,135,5,Malta,field,Marsa,Malta,Valletta Cup,1310170,B
242,1192875A,2019,Pallekele International Cricket Stadium,Sri Lanka,New Zealand,50,1,81,1,43,2,174,4,Sri Lanka,bat,Kandy,New Zealand,New Zealand tour of Sri Lanka,1192875,A
242,1192875B,2019,Pallekele International Cricket Stadium,New Zealand,Sri Lanka,36,2,105,2,34,0,175,4,Sri Lanka,bat,Kandy,New Zealand,New Zealand tour of Sri Lanka,1192875,B
243,1310164A,2022,Desert Springs Cricket Ground,Guernsey,Spain,28,2,33,7,17,1,78,10,Guernsey,bat,Almeria,Spain,Spain Triangular T20I Series,1310164,A
243,1310164B,2022,Desert Springs Cricket Ground,Spain,Guernsey,36,1,44,1,0,0,80,2,Guernsey,bat,Almeria,Spain,Spain Triangular T20I Series,1310164,B
244,1233971A,2021,Hagley Oval,New Zealand,Australia,34,3,98,1,52,1,184,5,Australia,field,Christchurch,New Zealand,Australia tour of New Zealand,1233971,A
244,1233971B,2021,Hagley Oval,Australia,New Zealand,36,4,79,5,16,1,131,10,Australia,field,Christchurch,New Zealand,Australia tour of New Zealand,1233971,B
245,1272093A,2021,Shere Bangla National Stadium,New Zealand,Bangladesh,18,4,40,5,2,1,60,10,New Zealand,bat,Dhaka,Bangladesh,New Zealand tour of Bangladesh,1272093,A
245,1272093B,2021,Shere Bangla National Stadium,Bangladesh,New Zealand,22,2,40,1,0,0,62,3,New Zealand,bat,Dhaka,Bangladesh,New Zealand tour of Bangladesh,1272093,B
246,1199505A,2019,ICC Academy,Netherlands,Namibia,25,2,73,2,42,2,140,6,Netherlands,bat,Dubai,Netherlands,ICC Men's T20 World Cup Qualifier,1199505,A
246,1199505B,2019,ICC Academy,Namibia,Netherlands,32,4,49,4,15,2,96,10,Netherlands,bat,Dubai,Netherlands,ICC Men's T20 World Cup Qualifier,1199505,B
247,1197528A,2019,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Netherlands,Hong Kong,50,1,76,3,59,0,185,4,Hong Kong,field,Al Amarat,Netherlands,Oman Pentangular T20I Series,1197528,A
247,1197528B,2019,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Hong Kong,Netherlands,40,2,72,3,36,2,148,7,Hong Kong,field,Al Amarat,Netherlands,Oman Pentangular T20I Series,1197528,B
248,361530A,2008,Civil Service Cricket Club,Kenya,Ireland,22,2,42,5,3,1,67,8,Ireland,field,Belfast,Ireland,ICC World Twenty20 Qualifier,361530,A
248,361530B,2008,Civil Service Cricket Club,Ireland,Kenya,13,2,36,4,23,0,72,6,Ireland,field,Belfast,Ireland,ICC World Twenty20 Qualifier,361530,B
249,1199511A,2019,Sheikh Zayed Stadium,Hong Kong,Oman,35,1,55,6,12,3,102,10,Oman,field,Abu Dhabi,Oman,ICC Men's T20 World Cup Qualifier,1199511,A
249,1199511B,2019,Sheikh Zayed Stadium,Oman,Hong Kong,35,1,60,2,11,0,106,3,Oman,field,Abu Dhabi,Oman,ICC Men's T20 World Cup Qualifier,1199511,B
