,id,year,venue,team_A,team_B,Runs_in_Powerplay,Wickets_lost_in_Powerplay,Runs_in_middle_overs,Wickets_lost_in_middle_overs,Runs_in_Death_overs,Wickets_lost_in_death_overs,Total_Score_A,Total_Wicket_A,toss_winner,toss_decision,city,winner,event,match_id,innings_number
15,540173B,2012,Beausejour Stadium,Australia,West Indies,52,1,77,1,24,0,153,2,West Indies,bat,St Lucia,Australia,Australia in West Indies T20I Series,540173,B
16,875541A,2015,The Village,Afghanistan,Hong Kong,41,1,79,2,41,4,161,7,Afghanistan,bat,Dublin,Hong Kong,ICC World Twenty20 Qualifier,875541,A
16,875541B,2015,The Village,Hong Kong,Afghanistan,37,1,76,2,49,2,162,5,Afghanistan,bat,Dublin,Hong Kong,ICC World Twenty20 Qualifier,875541,B
17,287878A,2007,Kingsmead,India,Australia,36,1,105,2,47,2,188,5,India,bat,Durban,India,ICC World Twenty20,287878,A
17,287878B,2007,Kingsmead,Australia,India,37,1,111,2,25,4,173,7,India,bat,Durban,India,ICC World Twenty20,287878,B
18,1299579A,2022,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 2),Bahrain,Philippines,49,2,91,1,51,2,191,5,Bahrain,bat,Al Amarat,Bahrain,ICC Men's T20 World Cup Qualifier A,1299579,A
18,1299579B,2022,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 2),Philippines,Bahrain,29,2,49,5,22,2,100,9,Bahrain,bat,Al Amarat,Bahrain,ICC Men's T20 World Cup Qualifier A,1299579,B
19,1072206A,2016,ICC Academy,Afghanistan,United Arab Emirates,41,0,57,4,63,2,161,6,Afghanistan,bat,Dubai,Afghanistan,Afghanistan in United Arab Emirates T20I Series,1072206,A
19,1072206B,2016,ICC Academy,United Arab Emirates,Afghanistan,40,1,80,4,30,2,150,7,Afghanistan,bat,Dubai,Afghanistan,Afghanistan in United Arab Emirates T20I Series,1072206,B
20,1130747A,2018,Sylhet International Cricket Stadium,Sri Lanka,Bangladesh,63,0,95,2,52,2,210,4,Bangladesh,field,,Sri Lanka,Sri Lanka tour of Bangladesh,1130747,A
20,1130747B,2018,Sylhet International Cricket Stadium,Bangladesh,Sri Lanka,40,3,80,3,15,3,135,9,Bangladesh,field,,Sri Lanka,Sri Lanka tour of Bangladesh,1130747,B
21,546462A,2012,Dubai International Cricket Stadium,Canada,Ireland,35,1,41,5,30,2,106,8,Canada,bat,,Ireland,ICC World Twenty20 Qualifier,546462,A
21,546462B,2012,Dubai International Cricket Stadium,Ireland,Canada,82,0,27,0,0,0,109,0,Canada,bat,,Ireland,ICC World Twenty20 Qualifier,546462,B
22,1152840A,2019,Sophia Gardens,Pakistan,England,38,2,99,2,36,2,173,6,Pakistan,bat,Cardiff,England,Pakistan tour of England,1152840,A
22,1152840B,2019,Sophia Gardens,England,Pakistan,48,1,89,2,38,0,175,3,Pakistan,bat,Cardiff,England,Pakistan tour of England,1152840,B
23,1199502A,2019,Sheikh Zayed Stadium,United Arab Emirates,Oman,30,3,51,2,27,4,108,9,Oman,field,Abu Dhabi,Oman,ICC Men's T20 World Cup Qualifier,1199502,A
23,1199502B,2019,Sheikh Zayed Stadium,Oman,United Arab Emirates,32,1,61,2,16,0,109,3,Oman,field,Abu Dhabi,Oman,ICC Men's T20 World Cup Qualifier,1199502,B
24,1275274A,2021,Moara Vlasiei Cricket Ground,Luxembourg,Hungary,54,0,80,2,45,3,179,5,Hungary,field,Ilfov County,Luxembourg,Continental Cup,1275274,A
